Questions,Responses,Count
Do you accept the conditions laid out in the Code of Conduct?,Yes,133
What city do you work in or near?,Aarhus,19
What city do you work in or near?,Brussels,1
What city do you work in or near?,Copenhagen,46
What city do you work in or near?,Gentofte,3
What city do you work in or near?,Glostrup,1
What city do you work in or near?,Gothenburg,29
What city do you work in or near?,Hjørring,1
What city do you work in or near?,Lund,1
What city do you work in or near?,Malmö,3
What city do you work in or near?,Odense,17
What city do you work in or near?,Stockholm,9
What city do you work in or near?,Uppsala,3
What gender do you identify with?,Man,27
What gender do you identify with?,Prefer not to say,3
What gender do you identify with?,Woman,64
How do you perceive your skill/knowledge of data analysis in general?,Advanced,4
How do you perceive your skill/knowledge of data analysis in general?,Beginner,37
How do you perceive your skill/knowledge of data analysis in general?,Beginner-Intermediate,33
How do you perceive your skill/knowledge of data analysis in general?,Intermediate,43
How do you perceive your skill/knowledge of data analysis in general?,Intermediate-Advanced,16
How do you perceive your skill/knowledge of formal version control (e.g. Git)?,Beginner,126
How do you perceive your skill/knowledge of formal version control (e.g. Git)?,Beginner-Intermediate,5
How do you perceive your skill/knowledge of formal version control (e.g. Git)?,Intermediate,2
How do you perceive your skill/knowledge of programming in general?,Advanced,2
How do you perceive your skill/knowledge of programming in general?,Beginner,89
How do you perceive your skill/knowledge of programming in general?,Beginner-Intermediate,24
How do you perceive your skill/knowledge of programming in general?,Intermediate,16
How do you perceive your skill/knowledge of programming in general?,Intermediate-Advanced,2
How do you perceive your skill/knowledge of using R?,Beginner,88
How do you perceive your skill/knowledge of using R?,Beginner-Intermediate,33
How do you perceive your skill/knowledge of using R?,Intermediate,10
How do you perceive your skill/knowledge of using R?,Intermediate-Advanced,2
What programs have you previously used for data analysis?,Excel,21
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",18
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Bowtie2, Samtools, Bedtools, HOMER, MACS2, etc.",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Origin",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, SIMCA",1
What programs have you previously used for data analysis?,"Excel, MATLAB, Python, R",1
What programs have you previously used for data analysis?,"Excel, Origin",2
What programs have you previously used for data analysis?,"Excel, Python",1
What programs have you previously used for data analysis?,"Excel, python, R, other application-based softwares",1
What programs have you previously used for data analysis?,"Excel, R",1
What programs have you previously used for data analysis?,"Excel, SigmaPlot, GraphPad Prism",1
What programs have you previously used for data analysis?,"Excel, SigmaPlot, GraphPad Prism, Origin, ImageJ Fiji",1
What programs have you previously used for data analysis?,"Excel, SPSS and a bit of Stata",1
What programs have you previously used for data analysis?,Graph Pad Prism,1
What programs have you previously used for data analysis?,Graphpad,2
What programs have you previously used for data analysis?,graphpad prism,1
What programs have you previously used for data analysis?,GraphPad Prism,2
What programs have you previously used for data analysis?,"GraphPad Prism, Excel",1
What programs have you previously used for data analysis?,"graphpad, spss",1
What programs have you previously used for data analysis?,"Mainly Stata, little SAS and  R",1
What programs have you previously used for data analysis?,"mostly stata, but also sas",1
What programs have you previously used for data analysis?,no,1
What programs have you previously used for data analysis?,None,2
What programs have you previously used for data analysis?,"none, started with R",1
What programs have you previously used for data analysis?,"Perl, R",1
What programs have you previously used for data analysis?,Prism,2
What programs have you previously used for data analysis?,"Prism, SIGMA plot",1
What programs have you previously used for data analysis?,"prism, SPSS, excel (you couldn't select multiple on the Q)",1
What programs have you previously used for data analysis?,"Python, R",1
What programs have you previously used for data analysis?,R,2
What programs have you previously used for data analysis?,R and GraphPad Prism.,1
What programs have you previously used for data analysis?,R studio-less than beginning,1
What programs have you previously used for data analysis?,SAS,3
What programs have you previously used for data analysis?,sas jmp,1
What programs have you previously used for data analysis?,"SAS, Matlab, GraphPad, Excel",1
What programs have you previously used for data analysis?,"SAS, Stata",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Excel",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, Excel",2
What programs have you previously used for data analysis?,sigma Plot,1
What programs have you previously used for data analysis?,sigmaplot,1
What programs have you previously used for data analysis?,SigmaPlot,1
What programs have you previously used for data analysis?,"Sigmaplot, graphpad",1
What programs have you previously used for data analysis?,"SigmaPlot, GraphPad Prism",1
What programs have you previously used for data analysis?,"SigmaPlot, R",1
What programs have you previously used for data analysis?,spss,1
What programs have you previously used for data analysis?,SPSS,9
What programs have you previously used for data analysis?,"SPSS, ecxel",1
What programs have you previously used for data analysis?,"SPSS, Excel",2
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",4
What programs have you previously used for data analysis?,"SPSS, Prism, Python coding",1
What programs have you previously used for data analysis?,"SPSS, R",1
What programs have you previously used for data analysis?,"SPSS, R (very little)",1
What programs have you previously used for data analysis?,"spss, stata",1
What programs have you previously used for data analysis?,"SPSS, Stata",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel, Python, R",1
What programs have you previously used for data analysis?,"SPSS, Stata, GraphPad Prism",1
What programs have you previously used for data analysis?,Stata,10
What programs have you previously used for data analysis?,Stata and R,1
What programs have you previously used for data analysis?,"Stata, Excel",1
